証券コード,企業名,アクティビスト名,種別,保有割合推移,備考
6927,ヘリオステクノHD,NIPPON ACTIVE VALUE FUND PLC (NAVF),英国アクティビスト,"24/08/05: 5.53% → 24/10/01: 5.82% → 24/10/25: 6.33% → 24/11/06: 7.50% → 24/12/05: 7.94% → 24/12/20: 8.34% → 25/01/02: 8.34% → 25/01/17: 8.71% → 25/05/14: 8.77% → 25/05/23: 9.25% → 25/06/17: 9.73% → 25/09/04: 9.73% → 26/04/01: 9.73%",NAVF Select・ダルトンと共同保有。3者合計28.73%（26/04/01時点）
6927,ヘリオステクノHD,NAVF Select LLC,英国アクティビスト,"24/08/05: 2.19% → 24/10/01: 2.52% → 24/10/25: 2.69% → 24/11/06: 3.08% → 24/12/05: 3.23% → 24/12/20: 3.36% → 25/01/02: 3.36% → 25/01/17: 3.49% → 25/05/14: 3.51% → 25/05/23: 4.11% → 25/06/17: 4.71% → 25/09/04: 5.75% → 26/04/01: 6.05%",NAVF共同保有者。継続的に買い増し
6927,ヘリオステクノHD,ダルトン・インベストメンツ,米国アクティビスト,"24/08/05: 8.73% → 24/10/01: 9.11% → 24/10/25: 9.63% → 24/11/06: 10.61% → 24/12/05: 11.05% → 24/12/20: 11.69% → 25/01/02: 11.70% → 25/01/17: 12.26% → 25/05/14: 12.74% → 25/05/23: 12.74% → 25/06/17: 12.95% → 25/09/04: 12.95% → 26/04/01: 12.95%",NAVF共同保有者。筆頭アクティビスト
6927,ヘリオステクノHD,Black Clover Limited,英国ファンド,"25/01/15: 6.62% → 25/02/28: 5.17% → 25/03/06: 4.13%",5%割れで減少傾向。撤退の可能性
4886,あすか製薬HD,NIPPON ACTIVE VALUE FUND PLC (NAVF),英国アクティビスト,"23/12/31: 3.63% → 24/03/28: 4.16% → 24/04/08: 4.86% → 24/07/11: 4.96% → 24/08/05: 5.19% → 24/09/10: 5.34% → 24/10/08: 5.49% → 24/10/30: 5.59% → 24/11/25: 5.74% → 24/11/28: 6.30% → 25/01/02: 6.80% → 25/01/23: 7.45% → 25/02/26: 7.66% → 25/03/21: 8.22% → 25/05/02: 8.34% → 26/04/01: 8.34%",NAVF Select・ダルトンと共同保有。3者合計21.32%（26/04/01時点）
4886,あすか製薬HD,NAVF Select LLC,英国アクティビスト,"23/12/31: 1.38% → 24/03/28: 1.48% → 24/04/08: 1.63% → 24/07/11: 1.65% → 24/08/05: 1.66% → 24/09/10: 1.68% → 24/10/08: 1.93% → 24/10/30: 2.10% → 24/11/25: 2.26% → 24/11/28: 2.34% → 25/01/02: 2.42% → 25/01/23: 2.51% → 25/02/26: 2.55% → 25/03/21: 2.72% → 25/05/02: 2.85% → 26/04/01: 2.95%",NAVF共同保有者
4886,あすか製薬HD,ダルトン・インベストメンツ,米国アクティビスト,"23/12/31: 0.52% → 24/03/28: 0.90% → 24/04/08: 1.21% → 24/07/11: 2.10% → 24/08/05: 2.91% → 24/09/10: 3.78% → 24/10/08: 4.40% → 24/10/30: 5.14% → 24/11/25: 5.87% → 24/11/28: 6.26% → 25/01/02: 6.67% → 25/01/23: 6.96% → 25/02/26: 7.73% → 25/03/21: 8.50% → 25/05/02: 9.30% → 26/04/01: 10.03%",NAVF共同保有者。0.52%→10.03%に急増。最も積極的な買い増し
4549,栄研化学,NIPPON ACTIVE VALUE FUND PLC (NAVF),英国アクティビスト,"24/08/21: 6.74% → 24/09/24: 7.07% → 24/10/18: 7.39% → 24/11/07: 7.78% → 24/11/21: 8.30% → 25/01/02: 8.30% → 25/02/03: 8.30% → 25/02/21: 8.30% → 25/05/27: 8.38% → 25/07/10: 8.40% → 25/11/06: 8.48% → 25/11/14: 9.46% → 26/04/01: 9.46%",ダルトンと共同保有。2者合計29.21%（26/04/01時点）
4549,栄研化学,ダルトン・インベストメンツ,米国アクティビスト,"24/08/21: 9.47% → 24/09/24: 10.15% → 24/10/18: 10.85% → 24/11/07: 12.07% → 24/11/21: 12.07% → 24/12/13: 13.10% → 25/01/02: 13.19% → 25/02/03: 14.21% → 25/02/21: 15.28% → 25/05/27: 16.15% → 25/07/10: 16.15% → 25/11/06: 17.70% → 25/11/14: 19.75% → 26/04/01: 19.75%",NAVF共同保有者。栄研化学の筆頭株主級。積極的買い増し継続
4549,栄研化学,アセット・バリュー・インベスターズ (AVI),英国ファンド,"24/03/11: 5.01% → 25/09/08: 6.01% → 25/11/26: 7.37%",NAVF・ダルトンと同調して買い増し
