証券コード,企業名,保有者名,最新保有割合(%),保有割合推移,保有目的,トリガー条件,報告書件数,グループ合算(%),共同保有者数,グループ合算推移
1379,ホクト株式会社,"エーエージーエス・インベストメント・インク(AAGS Investment, Inc.)",13.50,24/04: 13.50%,純投資,A:賛成率低下,1,13.50,1,24/04: 13.50%
1384,株式会社　ホクリヨウ,みずほ証券 株式会社,0.00,24/06: 5.05% → 25/07: 0.00%,,B:新規株主提案,2,0.00,1,24/06: 5.15% → 25/07: 0.00%
1384,株式会社　ホクリヨウ,アセットマネジメントOne株式会社,0.00,24/06: 0.10% → 25/07: 0.00%,,B:新規株主提案,2,0.00,1,24/06: 5.15% → 25/07: 0.00%
1417,株式会社ミライト・ワン,アセットマネジメントOne株式会社,6.61,26/05: 6.61%,投資信託または投資一任契約に基づき投資権限を有するもの。,A:賛成率低下 + C:会社提案否決,1,9.46,5,26/05: 9.46%
1417,株式会社ミライト・ワン,住友電気工業株式会社,4.02,26/03: 4.02%,政策投資：　営業上の取引関係の維持・強化に加え、継続的な交流により、事業拡大・発展を図るため。,A:賛成率低下 + C:会社提案否決,1,4.02,2,26/03: 4.02%
1417,株式会社ミライト・ワン,三井住友トラスト・アセットマネジメント株式会社,3.01,25/09: 3.01%,投資信託契約、投資一任契約に基づく運用を目的として保有するもの。,A:賛成率低下 + C:会社提案否決,1,5.35,3,25/09: 5.35%
1417,株式会社ミライト・ワン,住友電設株式会社,2.18,26/03: 2.18%,政策投資：　営業上の取引関係の維持・強化に加え、継続的な交流により、事業拡大・発展を図るため。,A:賛成率低下 + C:会社提案否決,1,4.02,2,26/03: 4.02%
1417,株式会社ミライト・ワン,アモーヴァ・アセットマネジメント株式会社,2.11,25/09: 2.11%,証券投資信託及び投資一任契約において、株券等の取得・処分の権限を有するもの。,A:賛成率低下 + C:会社提案否決,1,5.35,3,25/09: 5.35%
1417,株式会社ミライト・ワン,株式会社みずほ銀行,1.42,26/05: 1.42%,発行会社の要請に応え、かつ発行会社との取引関係の強化を図るもの。,A:賛成率低下 + C:会社提案否決,1,9.46,5,26/05: 9.46%
1417,株式会社ミライト・ワン,みずほ信託銀行株式会社,1.07,26/05: 1.07%,発行会社の要請に応え、かつ発行会社との取引関係の強化を図るもの。信託財産として運用その他の信託目的に従い保有するもの。,A:賛成率低下 + C:会社提案否決,1,9.46,5,26/05: 9.46%
1417,株式会社ミライト・ワン,みずほ証券 株式会社,0.24,26/05: 0.24%,政策投資目的にて保有するもの。ディーリング(短期売買)目的で保有するもの。レンディングその他取引に基づく一時的保有。,A:賛成率低下 + C:会社提案否決,1,9.46,5,26/05: 9.46%
1417,株式会社ミライト・ワン,三井住友信託銀行株式会社,0.23,25/09: 0.23%,政策投資として保有するもの。,A:賛成率低下 + C:会社提案否決,1,5.35,3,25/09: 5.35%
1417,株式会社ミライト・ワン,アセットマネジメントOneインターナショナル（Asset Management One International Ltd.）,0.12,26/05: 0.12%,投資信託または投資一任契約に基づき投資権限を有するもの。,A:賛成率低下 + C:会社提案否決,1,9.46,5,26/05: 9.46%
1515,日鉄鉱業株式会社,日本製鉄株式会社,9.76,25/02: 9.76%,政策投資 (提携施策の円滑な推進),A:賛成率低下,1,9.76,1,25/02: 9.76%
1515,日鉄鉱業株式会社,コンチネンタル・ゼネラル・インシュアランス・カンパニー（Continental General Insurance Company）,8.58,25/05: 5.02% → 25/05: 6.27% → 25/05: 7.46% → 25/06: 8.58%,提出者は投資リターンをあげることを目的として発行者の株式を保有するものでありますが、発行者への投資を継続的に見直し、提出者が適切だと判断する行動をとることがあり、当該行動は、発行者経営陣との建設的で原則として友好的な対話・議論を通じて行われますが、法令上の重要提案行為等に該当することがあります。,A:賛成率低下,4,8.58,1,25/05: 5.02% → 25/05: 6.27% → 25/05: 7.46% → 25/06: 8.58%
1515,日鉄鉱業株式会社,公益財団法人日鉄鉱業奨学会,7.68,25/07: 7.68% → 25/07: 7.68%,事業遂行のための基本財源として長期保有を目的としている。,A:賛成率低下,2,7.68,1,25/07: 7.68% → 25/07: 7.68%
1515,日鉄鉱業株式会社,株式会社みずほ銀行,3.68,26/03: 3.68% → 26/08: 3.68%,・発行会社の要請に応え、かつ発行会社との取引関係の強化を図るもの,A:賛成率低下,2,5.20,3,26/03: 6.30% → 26/08: 5.20%
1515,日鉄鉱業株式会社,アセットマネジメントOne株式会社,1.27,26/03: 1.33% → 26/08: 1.27%,・投資信託または投資一任契約に基づき投資権限を有するもの,A:賛成率低下,2,5.20,3,26/03: 6.30% → 26/08: 5.20%
1515,日鉄鉱業株式会社,みずほ信託銀行株式会社,0.25,26/03: 0.25% → 26/08: 0.25%,・発行会社の要請に応え、かつ発行会社との取引関係の強化を図るもの,A:賛成率低下,2,5.20,3,26/03: 6.30% → 26/08: 5.20%
1515,日鉄鉱業株式会社,みずほ証券 株式会社,0.03,26/03: 1.04% → 26/08: 0.03%,・ディーリング(短期売買)目的で保有するもの・レンディングその他取引に基づく一時的保有,A:賛成率低下,2,5.20,3,26/03: 6.30% → 26/08: 5.20%
1662,石油資源開発株式会社,オービス・インベストメント・マネジメント・リミテッド（Orbis Investment Management Limited）,4.91,24/06: 4.91%,当社の管理下にあるファンドの資産運用のための投資,A:賛成率低下,1,4.91,1,24/06: 4.91%
1721,コムシスホールディングス株式会社,野村アセットマネジメント株式会社,10.99,25/09: 9.70% → 25/09: 9.76% → 26/01: 9.70% → 26/04: 10.99%,信託財産の運用として保有している。,B:新規株主提案,4,11.38,2,25/09: 10.45% → 25/09: 10.47% → 26/01: 10.03% → 26/04: 11.38%
1721,コムシスホールディングス株式会社,オアシス　マネジメント　カンパニー　リミテッド（Oasis Management Company Ltd.）,6.32,26/03: 5.61% → 26/05: 6.32%,提出者は、発行者におけるコーポレートガバナンスの改善及び発行者の企業価値と株主価値の保護、向上を目的として、金融商品取引法施行令（以下「施行令」という。）第14条の8の2第1項第4号、第5号、第10号、及び第12号（株券等の大量保有の状況の開示に関する内閣府令（以下「大量保有府令」という。）第16条第1号及び第4号）に関する事項について、発行者に対して提案を行っている。提出者は、発行者におけるコーポレートガバナンスの改善及び発行者の企業価値と株主価値の保護、向上を目的として、今後12か月の間に、施行令第14条の8の2第1項第1号、第2号、第3号、第4号、第5号、第7号、第8号、第10号及び第12号（株券等の大量保有の状況の開示に関する内閣府令第16条第1号及び第4号）に関する事項について、発行者に対して提案を行う予定である。提出者は令和8年5月1日時点において、ポートフォリオ投資の一環として、市場内外の取引を通じて発行者の普通株式の株券等保有割合を100分の5を超える割合増加させる行為（以下「5%超取得行為」という。）を予定している。ただし、5%超取得行為は、発行者の普通株式の市場価格が割安と判断される水準にあること及びその他の条件に左右され、それらの条件を勘案して行う予定である。なお、取得価格、数量、時期などの具体的な条件については引き続き検討中である。5%超取得行為の実行には当局への届出又は当局による承認が必要となる場合がある。5%超取得行為は令和8年5月1日から3か月以内に行うことを予定しているが、上述の要因により当該3か月の期間以降に行われる可能性もある。,B:新規株主提案,2,6.32,1,26/03: 5.61% → 26/05: 6.32%
1721,コムシスホールディングス株式会社,アモーヴァ・アセットマネジメント株式会社,5.11,25/09: 4.79% → 26/03: 4.76% → 26/04: 5.41% → 26/07: 5.11%,証券投資信託及び投資一任契約において、株券等の取得・処分の権限を有するもの。,B:新規株主提案,4,8.09,2,25/09: 7.05% → 26/03: 8.05% → 26/04: 9.48% → 26/07: 8.09%
1721,コムシスホールディングス株式会社,大和アセットマネジメント株式会社,5.08,25/04: 5.08%,証券投資信託の財産及び投資一任契約による顧客資金として保有,B:新規株主提案,1,5.08,1,25/04: 5.08%
1721,コムシスホールディングス株式会社,シルチェスター・インターナショナル・インベスターズ・エルエルピー (Silchester International Investors LLP),4.68,24/02: 8.11% → 24/04: 7.09% → 25/03: 6.09% → 25/03: 5.73% → 25/05: 4.68%,提出者は、発行者に対して増配、自己株式の買入の頻度又は総量、金庫株消却その他資本政策の変更を要求することがある。また、(i)重要な資産の処分又は取得、(ii)借入又は転換社債の発行、(iii)取締役又は重要な使用人の選任又は解任、(iv)株式譲渡、(v)会社分割又は合併、(vi)株式交換、又は (vii)事業の譲渡又は譲受に関して、発行者、提出者若しくは他の株主が提案した議案に対して、反対票を投ずることも、賛成票を投ずることもある。提出者は、その顧客の為に、株式を追加取得することも、保有株式の全て又は一部を売却することもある。,B:新規株主提案,5,4.68,1,24/02: 8.11% → 24/04: 7.09% → 25/03: 6.09% → 25/03: 5.73% → 25/05: 4.68%
