証券コード,企業名,大量保有報告書,保有者数,保有者一覧,トリガー条件
1379,ホクト株式会社,あり,1,ＡＡＧＳ　Ｉｎｖｅｓｔｍｅｎｔ，　Ｉｎｃ．(13.5%),A:賛成率低下
1384,株式会社　ホクリヨウ,あり,1,みずほ証券株式会社(0.0%),B:新規株主提案
1417,株式会社ミライト・ワン,あり,3,三井住友信託銀行株式会社(0.2%) / 住友電気工業株式会社(4.0%) / 株式会社みずほ銀行(1.4%),A:賛成率低下 + C:会社提案否決
1515,日鉄鉱業株式会社,あり,4,公益財団法人日鉄鉱業奨学会(7.7%) / 日本製鉄株式会社(9.8%) / 株式会社みずほ銀行(3.7%) / Ｃｏｎｔｉｎｅｎｔａｌ　Ｇｅｎｅｒａｌ　Ｉｎｓｕｒａｎｃｅ　Ｃｏｍｐａｎｙ(8.6%),A:賛成率低下
1662,石油資源開発株式会社,あり,1,オービス・インベストメント・マネジメント・リミテッド(4.9%),A:賛成率低下
1721,コムシスホールディングス株式会社,あり,7,シルチェスター・インターナショナル・インベスターズ・エルエルピー(4.7%) / 三井住友トラスト・アセットマネジメント株式会社(4.1%) / 大和アセットマネジメント株式会社(5.1%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(1.9%) / 野村アセットマネジメント株式会社(0.4%) / 野村證券株式会社(1.1%) / Ｏａｓｉｓ　Ｍａｎａｇｅｍｅｎｔ　Ｃｏｍｐａｎｙ　Ｌｔｄ．(6.3%),B:新規株主提案
1786,オリエンタル白石株式会社,あり,3,エフィッシモ　キャピタル　マネージメント　ピーティーイー　エルティーディー（Ｅｆｆｉｓｓｉｍｏ　Ｃａｐｉｔａｌ　Ｍａｎａｇｅｍｅｎｔ　Ｐｔｅ　Ｌｔｄ）(11.8%) / 伊藤忠商事株式会社(18.1%) / 野村證券株式会社(1.3%),A:賛成率低下
1803,清水建設株式会社,あり,4,ブラックロック・ジャパン株式会社(1.5%) / 清水地所株式会社(11.5%) / 社会福祉法人清水基金(5.2%) / 野村證券株式会社(0.2%),A:賛成率低下
1815,鉄建建設株式会社,あり,1,三井住友ＤＳアセットマネジメント株式会社(4.9%),A:賛成率低下
1860,戸田建設株式会社,あり,3,シルチェスター・インターナショナル・インベスターズ・エルエルピー(4.9%) / 大一殖産株式会社(13.5%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(1.8%),A:賛成率低下
